공정코드,공정명,세부공정코드,세부공정명,품목코드,품목명,단위, 재료비, 노무비, 경비
A,공사준비,A01,공사준비,A01001,공사 동의서(공사 동의율 40% 기준),식,,,"  150,000 "
A,공사준비,A01,공사준비,A01002,공사 동의서(공사 동의율 60% 기준),식,,,"  250,000 "
A,공사준비,A01,공사준비,A01003,공사 동의서(공사 동의율 80% 기준),식,,,"  450,000 "
A,공사준비,A01,공사준비,A01004,"공사전,공사중 보양작업(타일,바닥,가구,공용 공간)50㎡ 이하",식,"  230,000 ",,
A,공사준비,A01,공사준비,A01005,"공사전,공사중 보양작업(타일,바닥,가구,공용 공간)전용면적기준",㎡,"  4,700 ",,
A,공사준비,A01,공사준비,A01006,"아파트 공용부위 추가보양 // 지하주차장, 세대층 ",식,"  850,000 ",,
A,공사준비,A01,공사준비,A01007,"부분 공사 공사전,공사중 보양작업",식,"  200,000 ",,
A,공사준비,A01,공사준비,A01008,"마루 재사용시 / 대리석, 폴리싱 타일 시공시 보양작업전용면적기준",㎡,"  5,700 ",,
A,공사준비,A01,공사준비,A01009,"사는집 부분 공사 가설공사(폴리베니아 + 목상가벽, 출입문)",식,"  1,100,000 ",,
A,공사준비,A01,공사준비,A01010,복층공사시 아시바 설치 // 대림아크로빌과 같은 원룸 복층,식,"  300,000 ",,
A,공사준비,A01,공사준비,A01011,복층공사시 아시바 설치 // 펜트하우스,식,"  1,900,000 ",,
A,공사준비,A01,공사준비,A01012,승강기 사용료,식,,,"  100,000 "
A,공사준비,A01,공사준비,A01013,승강기 사용료 // 사용날짜에 따라 계산,일, ,,
A,공사준비,A01,공사준비,A01014,"주차비 // 소비자 협의사항, 차후 정산",일, ,,
A,공사준비,A01,공사준비,A01999,기타(1),, ,,
A,공사준비,A99,기타공사준비,A99999,기타(2),, ,,
B,철거공사,B01,마루 철거,B01001,합판마루 바닥재 철거 (철거 면적 기준)10평 이하,식,"  295,000 ",,
B,철거공사,B01,마루 철거,B01002,합판마루 바닥재 철거 (철거 면적 기준)합판 마루,PY,"  29,500 ",,
B,철거공사,B01,마루 철거,B01003,합판마루 이중철거 // 철거후 확인가능합판 마루,PY,"  45,000 ",,
B,철거공사,B01,마루 철거,B01004,원목 마루 철거 (철거 면적 기준)10평 이하,식,"  360,000 ",,
B,철거공사,B01,마루 철거,B01005,원목 마루 철거 (철거 면적 기준)원목 마루,PY,"  36,000 ",,
B,철거공사,B01,마루 철거,B01006,강화 마루 철거 (철거 면적 기준)강화 마루,식,"  210,000 ",,
B,철거공사,B01,마루 철거,B01007,강화 마루 철거 (철거 면적 기준)강화 마루,PY,"  21,000 ",,
B,철거공사,B01,마루 철거,B01008,데코타일 철거 (철거 면적 기준)10평 이하,식,"  230,000 ",,
B,철거공사,B01,마루 철거,B01009,데코타일 철거 (철거 면적 기준),PY,"  23,000 ",,
B,철거공사,B01,마루 철거,B01010,한지 장판 샌딩 작업,개소,"  30,000 ",,
B,철거공사,B01,마루 철거,B01011,롤 장판 철거 (거실),개소,"  30,000 ",,
B,철거공사,B01,마루 철거,B01012,롤 장판 철거 (방),개소,"  20,000 ",,
B,철거공사,B01,마루 철거,B01013,종이장판 철거 후 샌딩10평 이하,식,"  200,000 ",,
B,철거공사,B01,마루 철거,B01014,종이장판 철거 후 샌딩,PY,"  20,000 ",,
B,철거공사,B01,마루 철거,B01015,"장판 시공시 / 마루본드, 데코타일본드 등 이물질 제거 바닥 샌딩10평 이하",PY,"  240,000 ",,
B,철거공사,B01,마루 철거,B01016,"장판 시공시 / 마루본드, 데코타일본드 등 이물질 제거 바닥 샌딩",PY,"  18,500 ",,
B,철거공사,B01,마루 철거,B01999,기타(1),,,,
B,철거공사,B02,타일/대리석철거,B02001,현관 바닥 타일 철거 // 타일 한겹만 철거시,㎡,"  35,000 ",,
B,철거공사,B02,타일/대리석철거,B02002,현관 바닥 타일 / 대리석 철거 // 사모레층까지 철거시,㎡,"  75,000 ",,
B,철거공사,B02,타일/대리석철거,B02003,현관장 하부 턱 철거,식,"  65,000 ",,
B,철거공사,B02,타일/대리석철거,B02004,바닥 대리석 철거,㎡,"  75,000 ",,
